method,step,loss,rel_l2,ic_err,bc_err
soft,0,0.6276552081108093,0.7133166027794429,0.017071591690182686,0.017071586102247238
soft,500,0.004237283952534199,0.030066580415064062,0.017071591690182686,0.017071586102247238
soft,1000,0.0022764659952372313,0.0204698260808512,0.017071591690182686,0.017071586102247238
soft,1500,0.0010324707254767418,0.014763171399410968,0.017071591690182686,0.017071586102247238
soft,2000,0.0004028645053040236,0.00699334178283793,0.017071591690182686,0.017071586102247238
soft,2500,0.00022042730415705591,0.005272427431921894,0.017071591690182686,0.017071586102247238
soft,3000,0.00014423239917960018,0.004202990651225999,0.017071591690182686,0.017071586102247238
soft,3500,9.744402632350102e-05,0.003429444341927014,0.017071591690182686,0.017071586102247238
soft,4000,0.00018687709234654903,0.024143842044408927,0.017071591690182686,0.017071586102247238
soft,4500,0.005375058390200138,0.04827879663754014,0.017071591690182686,0.017071586102247238
soft,5000,6.186261452967301e-05,0.0036185458687735127,0.017071591690182686,0.017071586102247238
hard,0,1.1704133749008179,0.4718585448585635,0.0,5.962440319251527e-09
hard,500,0.0022555335890501738,0.01016245223549601,0.0,5.962440319251527e-09
hard,1000,0.00019838529988192022,0.0010712017333111658,0.0,5.962440319251527e-09
hard,1500,9.388010221300647e-05,0.0030909257237946267,0.0,5.962440319251527e-09
hard,2000,3.53380964952521e-05,0.0005482337044928629,0.0,5.962440319251527e-09
hard,2500,1.9823010006803088e-05,0.00024254385271467295,0.0,5.962440319251527e-09
hard,3000,1.4548158105753828e-05,0.0004439632625148766,0.0,5.962440319251527e-09
hard,3500,9.965638128051069e-06,0.00026939119296915016,0.0,5.962440319251527e-09
hard,4000,2.2627980797551572e-05,0.0040067991167729985,0.0,5.962440319251527e-09
hard,4500,7.883729267632589e-06,0.0005098584592370473,0.0,5.962440319251527e-09
hard,5000,8.372258889721707e-05,0.005021819806361535,0.0,5.962440319251527e-09
