evals,seconds,rel_l2
22,0.314,0.3750087867420367
47,0.682,0.09567080622647998
68,0.996,0.04931074705950517
90,1.33,0.045351546966127906
112,1.665,0.03559654413770688
135,2.013,0.028346174027229092
158,2.352,0.02126739877008822
181,2.701,0.018495824024885848
204,3.06,0.01659260461831065
226,3.39,0.014593335455918274
249,3.73,0.012562462773980793
270,4.051,0.011735667589844618
291,4.373,0.01143017857667188
312,4.695,0.011324420452418896
333,5.023,0.009852392764569099
355,5.337,0.009339564862810824
380,5.67,0.00736211086344735
402,5.977,0.0074712530366405966
427,6.316,0.006448493869093038
450,6.63,0.005686904331507984
473,6.95,0.005640706391874325
495,7.296,0.005206211179527874
519,7.62,0.0047130081879026365
540,7.915,0.0043011565868331485
563,8.27,0.0037362502152460753
584,8.551,0.003544339386454826
606,8.854,0.0034484988921362355
629,9.165,0.0029289816774263123
650,9.461,0.0028614387022231833
673,9.783,0.002266887255495477
