model,k,alpha,rel_l2,steps_to_fit,seconds
plain,1,5.000000e-02,2.606784e-03,200,147.6
plain,2,1.250000e-02,1.250135e-03,400,209.9
plain,4,3.125000e-03,1.126138e-03,800,229.3
plain,8,7.812500e-04,2.392880e-03,1800,200.1
plain,16,1.953125e-04,3.988842e-02,7400,178.3
plain,32,4.882813e-05,5.144608e-01,,186.9
fourier,1,5.000000e-02,4.240673e-02,4600,335.5
fourier,2,1.250000e-02,1.436721e-02,1400,347.6
fourier,4,3.125000e-03,5.739793e-03,400,422.5
fourier,8,7.812500e-04,3.504910e-03,400,435.1
fourier,16,1.953125e-04,1.830277e-02,600,437.0
fourier,32,4.882813e-05,9.439415e-02,4800,420.5
